# node id, temperature, exact temp.
      422,   4.121e-02,   4.121e-02
      423,   4.131e-02,   4.131e-02
      424,   4.141e-02,   4.141e-02
      425,   4.150e-02,   4.150e-02
      426,   4.160e-02,   4.160e-02
      427,   4.169e-02,   4.169e-02
      428,   4.179e-02,   4.179e-02
      429,   4.188e-02,   4.188e-02
      430,   4.198e-02,   4.198e-02
      431,   4.208e-02,   4.208e-02
      432,   4.217e-02,   4.217e-02
      433,   4.227e-02,   4.227e-02
      434,   4.236e-02,   4.236e-02
      435,   4.246e-02,   4.246e-02
      436,   4.255e-02,   4.255e-02
      437,   4.265e-02,   4.265e-02
      438,   4.275e-02,   4.275e-02
      439,   4.284e-02,   4.284e-02
      440,   4.294e-02,   4.294e-02
      441,   4.303e-02,   4.303e-02
      442,   4.313e-02,   4.313e-02
      443,   4.322e-02,   4.322e-02
      444,   4.332e-02,   4.332e-02
      445,   4.341e-02,   4.341e-02
      446,   4.351e-02,   4.351e-02
      447,   4.361e-02,   4.361e-02
      448,   4.370e-02,   4.370e-02
      449,   4.380e-02,   4.380e-02
      450,   4.389e-02,   4.389e-02
      451,   4.399e-02,   4.399e-02
      452,   4.408e-02,   4.408e-02
      453,   4.418e-02,   4.418e-02
      454,   4.427e-02,   4.427e-02
      455,   4.437e-02,   4.437e-02
      456,   4.446e-02,   4.446e-02
      457,   4.456e-02,   4.456e-02
      458,   4.466e-02,   4.466e-02
      459,   4.475e-02,   4.475e-02
      460,   4.485e-02,   4.485e-02
      461,   4.494e-02,   4.494e-02
      462,   4.504e-02,   4.504e-02
      463,   4.513e-02,   4.513e-02
      464,   4.523e-02,   4.523e-02
      465,   4.532e-02,   4.532e-02
      466,   4.542e-02,   4.542e-02
      467,   4.551e-02,   4.551e-02
      468,   4.561e-02,   4.561e-02
      469,   4.570e-02,   4.570e-02
      470,   4.580e-02,   4.580e-02
      471,   4.590e-02,   4.590e-02
      472,   4.599e-02,   4.599e-02
      473,   4.609e-02,   4.609e-02
      474,   4.618e-02,   4.618e-02
      475,   4.628e-02,   4.628e-02
      476,   4.637e-02,   4.637e-02
      477,   4.647e-02,   4.647e-02
      478,   4.656e-02,   4.656e-02
      479,   4.666e-02,   4.666e-02
      480,   4.675e-02,   4.675e-02
      481,   4.685e-02,   4.685e-02
      482,   4.694e-02,   4.694e-02
      483,   4.704e-02,   4.704e-02
      484,   4.713e-02,   4.713e-02
      485,   4.723e-02,   4.723e-02
      486,   4.732e-02,   4.732e-02
      487,   4.742e-02,   4.742e-02
      488,   4.751e-02,   4.751e-02
      489,   4.761e-02,   4.761e-02
      490,   4.770e-02,   4.770e-02
      491,   4.780e-02,   4.780e-02
      492,   4.789e-02,   4.789e-02
      493,   4.799e-02,   4.799e-02
      494,   4.808e-02,   4.808e-02
      495,   4.818e-02,   4.818e-02
      496,   4.827e-02,   4.827e-02
      497,   4.837e-02,   4.837e-02
      498,   4.846e-02,   4.846e-02
      499,   4.856e-02,   4.856e-02
      500,   4.865e-02,   4.865e-02
      501,   4.875e-02,   4.875e-02
      502,   4.884e-02,   4.884e-02
      503,   4.894e-02,   4.894e-02
      504,   4.903e-02,   4.903e-02
      505,   4.913e-02,   4.913e-02
      506,   4.922e-02,   4.922e-02
      507,   4.932e-02,   4.932e-02
      508,   4.941e-02,   4.941e-02
      509,   4.951e-02,   4.951e-02
      510,   4.960e-02,   4.960e-02
      511,   4.970e-02,   4.970e-02
      512,   4.979e-02,   4.979e-02
      513,   4.989e-02,   4.989e-02
      514,   4.998e-02,   4.998e-02
      515,   5.008e-02,   5.008e-02
      516,   5.017e-02,   5.017e-02
      517,   5.027e-02,   5.027e-02
      518,   5.036e-02,   5.036e-02
      519,   5.046e-02,   5.046e-02
      520,   5.055e-02,   5.055e-02
      521,   5.065e-02,   5.065e-02
      522,   5.074e-02,   5.074e-02
      523,   5.084e-02,   5.084e-02
      524,   5.093e-02,   5.093e-02
      525,   5.103e-02,   5.103e-02
      526,   5.112e-02,   5.112e-02
      527,   5.122e-02,   5.122e-02
      528,   5.131e-02,   5.131e-02
      529,   5.141e-02,   5.141e-02
      530,   5.150e-02,   5.150e-02
      531,   5.160e-02,   5.160e-02
      532,   5.169e-02,   5.169e-02
      533,   5.178e-02,   5.178e-02
      534,   5.188e-02,   5.188e-02
      535,   5.197e-02,   5.197e-02
      536,   5.207e-02,   5.207e-02
      537,   5.216e-02,   5.216e-02
      538,   5.226e-02,   5.226e-02
      539,   5.235e-02,   5.235e-02
      540,   5.245e-02,   5.245e-02
      541,   5.254e-02,   5.254e-02
      542,   5.264e-02,   5.264e-02
      543,   5.273e-02,   5.273e-02
      544,   5.283e-02,   5.283e-02
      545,   5.292e-02,   5.292e-02
      546,   5.301e-02,   5.301e-02
      547,   5.311e-02,   5.311e-02
      548,   5.320e-02,   5.320e-02
      549,   5.330e-02,   5.330e-02
      550,   5.339e-02,   5.339e-02
      551,   5.349e-02,   5.349e-02
      552,   5.358e-02,   5.358e-02
      553,   5.368e-02,   5.368e-02
      554,   5.377e-02,   5.377e-02
      555,   5.387e-02,   5.387e-02
      556,   5.396e-02,   5.396e-02
      557,   5.405e-02,   5.405e-02
      558,   5.415e-02,   5.415e-02
      559,   5.424e-02,   5.424e-02
      560,   5.434e-02,   5.434e-02
      561,   5.443e-02,   5.443e-02
      562,   5.453e-02,   5.453e-02
      563,   5.462e-02,   5.462e-02
      564,   5.472e-02,   5.472e-02
      565,   5.481e-02,   5.481e-02
      566,   5.490e-02,   5.490e-02
      567,   5.500e-02,   5.500e-02
      568,   5.509e-02,   5.509e-02
      569,   5.519e-02,   5.519e-02
      570,   5.528e-02,   5.528e-02
      571,   5.538e-02,   5.538e-02
      572,   5.547e-02,   5.547e-02
      573,   5.556e-02,   5.556e-02
      574,   5.566e-02,   5.566e-02
      575,   5.575e-02,   5.575e-02
      576,   5.585e-02,   5.585e-02
      577,   5.594e-02,   5.594e-02
      578,   5.604e-02,   5.604e-02
      579,   5.613e-02,   5.613e-02
      580,   5.622e-02,   5.622e-02
      581,   5.632e-02,   5.632e-02
      582,   5.641e-02,   5.641e-02
      583,   5.651e-02,   5.651e-02
      584,   5.660e-02,   5.660e-02
      585,   5.669e-02,   5.669e-02
      586,   5.679e-02,   5.679e-02
      587,   5.688e-02,   5.688e-02
      588,   5.698e-02,   5.698e-02
      589,   5.707e-02,   5.707e-02
      590,   5.717e-02,   5.717e-02
      591,   5.726e-02,   5.726e-02
      592,   5.735e-02,   5.735e-02
      593,   5.745e-02,   5.745e-02
      594,   5.754e-02,   5.754e-02
      595,   5.764e-02,   5.764e-02
      596,   5.773e-02,   5.773e-02
      597,   5.782e-02,   5.782e-02
      598,   5.792e-02,   5.792e-02
      599,   5.801e-02,   5.801e-02
      600,   5.811e-02,   5.811e-02
      601,   5.820e-02,   5.820e-02
      602,   5.829e-02,   5.829e-02
      603,   5.839e-02,   5.839e-02
      604,   5.848e-02,   5.848e-02
      605,   5.858e-02,   5.858e-02
      606,   5.867e-02,   5.867e-02
      607,   5.876e-02,   5.876e-02
      608,   5.886e-02,   5.886e-02
      609,   5.895e-02,   5.895e-02
      610,   5.905e-02,   5.905e-02
      611,   5.914e-02,   5.914e-02
      612,   5.923e-02,   5.923e-02
      613,   5.933e-02,   5.933e-02
      614,   5.942e-02,   5.942e-02
      615,   5.952e-02,   5.952e-02
      616,   5.961e-02,   5.961e-02
      617,   5.970e-02,   5.970e-02
      618,   5.980e-02,   5.980e-02
      619,   5.989e-02,   5.989e-02
      620,   5.998e-02,   5.998e-02
      621,   6.008e-02,   6.008e-02
      622,   6.017e-02,   6.017e-02
      623,   6.027e-02,   6.027e-02
      624,   6.036e-02,   6.036e-02
      625,   6.045e-02,   6.045e-02
      626,   6.055e-02,   6.055e-02
      627,   6.064e-02,   6.064e-02
      628,   6.073e-02,   6.073e-02
      629,   6.083e-02,   6.083e-02
      630,   6.092e-02,   6.092e-02
      631,   6.102e-02,   6.102e-02
      632,   6.111e-02,   6.111e-02
      633,   6.120e-02,   6.120e-02
      634,   6.130e-02,   6.130e-02
      635,   6.139e-02,   6.139e-02
      636,   6.148e-02,   6.148e-02
      637,   6.158e-02,   6.158e-02
      638,   6.167e-02,   6.167e-02
      639,   6.176e-02,   6.176e-02
      640,   6.186e-02,   6.186e-02
      641,   6.195e-02,   6.195e-02
      642,   6.205e-02,   6.205e-02
      643,   6.214e-02,   6.214e-02
      644,   6.223e-02,   6.223e-02
      645,   6.233e-02,   6.233e-02
      646,   6.242e-02,   6.242e-02
      647,   6.251e-02,   6.251e-02
      648,   6.261e-02,   6.261e-02
      649,   6.270e-02,   6.270e-02
      650,   6.279e-02,   6.279e-02
      651,   6.289e-02,   6.289e-02
      652,   6.298e-02,   6.298e-02
      653,   6.307e-02,   6.307e-02
      654,   6.317e-02,   6.317e-02
      655,   6.326e-02,   6.326e-02
      656,   6.335e-02,   6.335e-02
      657,   6.345e-02,   6.345e-02
      658,   6.354e-02,   6.354e-02
      659,   6.364e-02,   6.364e-02
      660,   6.373e-02,   6.373e-02
      661,   6.382e-02,   6.382e-02
      662,   6.392e-02,   6.392e-02
      663,   6.401e-02,   6.401e-02
      664,   6.410e-02,   6.410e-02
      665,   6.420e-02,   6.420e-02
      666,   6.429e-02,   6.429e-02
      667,   6.438e-02,   6.438e-02
      668,   6.448e-02,   6.448e-02
      669,   6.457e-02,   6.457e-02
      670,   6.466e-02,   6.466e-02
      671,   6.476e-02,   6.476e-02
      672,   6.485e-02,   6.485e-02
      673,   6.494e-02,   6.494e-02
      674,   6.504e-02,   6.504e-02
      675,   6.513e-02,   6.513e-02
      676,   6.522e-02,   6.522e-02
      677,   6.532e-02,   6.532e-02
      678,   6.541e-02,   6.541e-02
      679,   6.550e-02,   6.550e-02
      680,   6.559e-02,   6.559e-02
      681,   6.569e-02,   6.569e-02
      682,   6.578e-02,   6.578e-02
      683,   6.587e-02,   6.587e-02
      684,   6.597e-02,   6.597e-02
      685,   6.606e-02,   6.606e-02
      686,   6.615e-02,   6.615e-02
      687,   6.625e-02,   6.625e-02
      688,   6.634e-02,   6.634e-02
      689,   6.643e-02,   6.643e-02
      690,   6.653e-02,   6.653e-02
      691,   6.662e-02,   6.662e-02
      692,   6.671e-02,   6.671e-02
      693,   6.681e-02,   6.681e-02
      694,   6.690e-02,   6.690e-02
      695,   6.699e-02,   6.699e-02
      696,   6.708e-02,   6.708e-02
      697,   6.718e-02,   6.718e-02
      698,   6.727e-02,   6.727e-02
      699,   6.736e-02,   6.736e-02
      700,   6.746e-02,   6.746e-02
      701,   6.755e-02,   6.755e-02
      702,   6.764e-02,   6.764e-02
      703,   6.774e-02,   6.774e-02
      704,   6.783e-02,   6.783e-02
      705,   6.792e-02,   6.792e-02
      706,   6.801e-02,   6.801e-02
      707,   6.811e-02,   6.811e-02
      708,   6.820e-02,   6.820e-02
      709,   6.829e-02,   6.829e-02
      710,   6.839e-02,   6.839e-02
      711,   6.848e-02,   6.848e-02
      712,   6.857e-02,   6.857e-02
      713,   6.867e-02,   6.867e-02
      714,   6.876e-02,   6.876e-02
      715,   6.885e-02,   6.885e-02
      716,   6.894e-02,   6.894e-02
      717,   6.904e-02,   6.904e-02
      718,   6.913e-02,   6.913e-02
      719,   6.922e-02,   6.922e-02
      720,   6.932e-02,   6.932e-02
      721,   6.941e-02,   6.941e-02
      722,   6.950e-02,   6.950e-02
      723,   6.959e-02,   6.959e-02
      724,   6.969e-02,   6.969e-02
      725,   6.978e-02,   6.978e-02
      726,   6.987e-02,   6.987e-02
      727,   6.996e-02,   6.996e-02
      728,   7.006e-02,   7.006e-02
      729,   7.015e-02,   7.015e-02
      730,   7.024e-02,   7.024e-02
      731,   7.034e-02,   7.034e-02
      732,   7.043e-02,   7.043e-02
      733,   7.052e-02,   7.052e-02
